#;Mbps;origen
91;200;Av. Martínez de Velasco, 3, 22005 Huesca
92;20;Av. Parc 46 Manacor
93;20;Av. Pío XII 51 Talavera de la Reina
94;20;Av. Ramón Menéndez Pidal 26 Albacete
95;20;Av. Ramón y Cajal 15 Albacete
96;20;Av. Valentín Masip 22 Oviedo
97;20;AVD. PAISOS CATALANS 3 - POL. IND. MAS MORATO B-13 3 17700 LA JONQUERA
98;10;AVD. PAISOS CATALANS 3, POL. IND. MAS MORATO B-13, LA JONQUERA
99;5;Avd.de la innovacion 9-11, 31621
100;10;Avda de la barca, 75 - 19208 Alovera - Guadalajara
101;10;Avda Ebro 25-26 Naves 7 a 9 Pol ind El Seguero. Agoncillo
102;10;Avda. Arquitecto Gaspar Bennasar 20 7004 Palma de Mallorca
103;10;Avda. de Asia s/n FONTANAR GUADALAJARA,
104;10;Avda. Jaume I, 76 4rta. 1a
105;10;avda. Rafael Cabrera nº 10 - Of. L, 28.105567, -15.414359, 35002
106;20;Avda. Vicente Risco , 76 
107;4;Ave. Kohly, No. 259, e/ 41 y 43, Nuevo Vedado, La Habana, Kuba
108;30;Avendia Jaime Montero Espinosa, 2, 06010 Badajoz 
109;10;AVENIDA  DEL VALLES 33, TERRASSA, 33L, Spain
110;2;AVENIDA A (POL ROMICA) 16
111;4;AVENIDA A (POL ROMICA) 16 ALBACETE
112;100;Avenida America 8, Fontanar, 19290
113;1000;avenida ausias march 19       46842    rugat
114;1000;Avenida Blasco Ibáñez 5 Corbera
115;10;"Avenida de Jose Garate 3;Bajo"
116;1000;Avenida de las Navas 162. 47162, Aldeamayor de San Martín
117;20;Avenida de Naos 60, Bajos 60
118;10;"Avenida del Atlantico, s/n
38620 Tenerife"
119;10;Avenida el Guincho, número 4Urbanización Atlantic, Golf del Sur
120;30;Avenida Federico García Lorca 11
121;30;Avenida Jaime Montero Espinosa, 2, 06010 Badajoz  
122;10;Avenida Juan Carlos II 29
123;2;Avenida la Veguilla 13
124;10;Avenida Larona nº 12, 19171 Cabanillas del campo (Guadalajara)
125;10;Avenida Manuel Echevarria, Manzana 2, Polígono Industrial Rio San Pedro, Muelle de la Cabezuela
126;1000;Avenida Maritima, 19 (Edificio Brisamar 3 - local 3), 38530 Candelaria, Santa Cruz de Tenerife 
127;3;Avenida Santa Maria de Casia
128;2;Avenida Via Apia no s/n - Loc 25-46
129;4;AVENIDA ZARAGOZA 13 44001 TERUEL
130;20;Avinguda d'Alacant 85 Pedreguer
131;500;Avinguda de Montilivi, 141, 17003 Girona
132;20;Avinguda D'isidor Macabich 72
133;30;Avinguda D'isidor Macabich 72. Eivissa
134;10;"Avinguda Generalitat 36;Bajo"
135;20;Avinguda Sant Francesc 64 Elx
136;100;AZNALCAZAR PARCELA 128 POL. IND PIBO, BOLLULLOS DE LA MITACIAN, SEVILLA 
137;50;BARBASTRO, POLIGONO INDUSTRIAL, VALLE DEL CINCA, 22300
138;2;Barrio Artiz 33
139;20;Barrio el Cerezo 13 Torrelavega
140;1.5;Barrio Epele Bailara no 29
141;10;Baumann Springs in Spain Legutiano (Alava).
142;10;Benifaio, Carrer la Font de l'Almaguer, 21
143;400;Berio Pasealekua 9
144;10;Boulevard de la Cala, Malaga, 29649, Spain 
145;10;Boulevard Voltaire, 75011 Paris
146;500;Breda
147;10;BUILDING UNION Y EL FENIX, 120, TRIANA, Las Palmas de Gran Canaria - Cuenca del Guiniguada, LAS PALMAS, LAS PALMAS DE GRAN CANARIA, CN, 35002, Spain
148;2;C (POL IND TARTESSOS) 5   BAJO(
149;3;C / Mayor de Triana 50
150;10;C Gudarien Etorbidea 33
151;10;C Laura Grote de la Puerta n 16 18 Pol Ind el Mayorazgo, Canary Islands, 38108
152;10;C Laura Grote de la Puerta n 16 18 Pol Ind el Mayorazgo, Canary Islands, 38108, Spain
153;100;C. Almogávares Nº4 Huesca 22002
154;20;C/ Alcalde Artal De Foces Bajo Onteniente
155;20;C/ Alona 19 Bajo Barcelona
156;10;"C/ Ambrosio de los Heros 48500 - Las Carreras
43°19'17.9""N 3°06'17.6""W"
157;6;C/ Aragon, 1 CRTA. Sesena-Illesca km.8 ESQUIVIAS TOLEDO,
158;10;C/ Aragon, 1 CRTA. Seseña-Illesca km.8 ESQUIVIAS TOLEDO,
159;20;C/ Bioy Casares Caceres
160;200;C/ Camí dels Reis, s/n, 07011 Palma, Illes Balears
161;100;C/ Cantero s/n P.I. Mohedano YUNQUERA DE HENARES GUADALAJARA,
162;3;C/ Cataluna, 1 CRTA. Sesena-Illesca km.8 ESQUIVIAS TOLEDO,
163;100;C/ Curtidores, 15
164;20;C/ De La Cizalla M3 Maspalomas
165;100;C/ de l'om 44. Simat de la Valldigna, Valencia
166;100;c/ de l'om 44. Simat de la Valldigna. Valencia
167;100;C/ Ducado 2
168;10;C/ Euskadi CRTA. Sesena-Illesca km.8 ESQUIVIAS TOLEDO,
169;20;C/ Francesc Moragas S/N, Bajos Manresa
170;100;C/ Guimaraes, 1 / Autopista del Norte , KM.. 16-19 1, 38350 Los Naranjeros, Tacoronte
171;10;C/ JARAMA, 75 45007 TOLEDO
172;1000;C/ Jesús Hernández Guzmán, 4. TELEVISIÓN PÚBLICA DE CANARIAS, S.A. 
173;10;C/ La Garlopa 22 PI Arinaga35119 Aguimes, Aguimes, 35119, Spain 
174;100;C/ LARONA, 1 SECTOR SI21. POL. IND. LA QUINTA
175;10;C/ LARONA, 1 SECTOR SI21. POL. IND. LA QUINTA 19171 CABANILLAS DEL CAMPO
176;10;C/ Las Mimosas, Manzana 1, Parcela 125-A 35118 Gran Canaria
177;10;C/ Las Mimosas, Manzana 1, Parcela 125-A. Gran canaria
178;1000;C/ Madalena, 21 . ENS PÚBLIC DE RADIOTELEVISIÓ DE LES ILLES BALEARS 
179;20;C/ Maria Auxiliadora S/N La Laguna
180;10;C/ Marianas 52,  19208  Alovera -  Guadalajara
181;20;C/ Orleans, 43870 Amposta
182;1000;C/ Río Guadalmena, 6. TELEVISIÓN AUTONÓMICA DE CASTILLA-LA MANCHA, S.A. 
183;20;C/ San Antonio 204 Calella
184;20;C/ Seneca S/N Roquetas
185;10;C/ Sindicato, 67. 07002 Palma de Mallorca
186;20;C/ Toni Sandich 4-Bajo C Ibiza
187;50;C/ Vega del Henares   Quer
188;10;C/. Miguel Curbelo Espino S/N, 
189;10;C/Agualatente, Nº 10 Polígono Industrial Lomo Blanco - Las Torres 35010 Las Palmas de G.C
190;10;C/Arkotz, 8
191;10;C/de la Perdiz, Parcelas 18 y 19 49950 Casarrubios Del Monte / Toledo 
192;100;C/El Rayo, 3. Cavanilles del Campo
193;20;C/G Nave D-18-Bis Orcoyen
194;100;C/Juan de la cierva 3. Tarancon (Cuenca) CP16400
195;10;C/Molino Grande s/n Polfgono Industrial Cabecicos Blancos, Librilla, Murcia 30892
196;10;c/Pintor Nicolas Massieu14 35018
197;10;c/Pintor Nicolas Massieu14 35018 Las Palmas
198;100;C/Primera 17. Polígono Industrial Montalvo III. Salamanca
199;10;C/Unicef , 25-31
200;100;C/Vega del Henares, Nave 1, Guadalajara, 19209
201;1000;Cádiz- Ramón de Carranza
202;300;Calamocha
203;60;Calle 1 Parcelas P3 Y p4, MANZANARES. CIUDAD REAL, 13200, Spain
204;2;Calle 5 no 5-7
205;10;Calle Agana 15
206;20;Calle Albareda 55-57 Las Palmas de Gran Canaria
207;4;CALLE ALONSO DE BAEZA 5 23440 BAEZA
208;20;Calle Asturias 5 San Pedro Alcántara
209;2;Calle Buen Pastor no s/n
210;20;Calle Cáceres 4 Mérida
211;30;Calle Camino del Álamo, 3, 45940 Valmojado, Toledo
212;20;Calle Carolina 18 Úbeda
213;20;Calle comunidad Foral de Navarra S/N, Tarazona, Aragon 50500
214;10;Calle Conde de la Vega Grande 1
215;20;Calle Corrientes 9 Las Palmas de Gran Canaria
